pm25,recorded_at
8.0,2026-07-14T09:00:00Z
16.0,2021-08-09T11:00:00Z
9.0,2025-08-09T14:00:00Z
6.7,2026-07-14T09:00:00Z
6.0,2024-12-09T12:00:00Z
154.81,2022-10-31T01:45:00Z
15.872727220708674,2024-07-21T20:00:00Z
4.59,2026-07-14T09:00:00Z
0.0,2026-07-03T07:00:00Z
5.0,2026-07-14T08:00:00Z
28.90916668574015,2026-01-31T05:00:00Z
9.551,2022-10-28T04:00:00Z
28.3,2026-07-14T10:00:00Z
5.0,2026-07-14T10:00:00Z
0.0,2025-01-13T23:00:00Z
86.11,2022-10-31T01:45:00Z
0.9,2026-07-14T10:00:00Z
6.3,2025-01-08T11:45:00Z
1.0,2020-01-09T16:00:00Z
0.0,2025-11-27T12:52:07Z
10.5,2026-07-14T10:00:00Z
16.0,2026-07-14T08:15:00Z
14.21,2026-07-14T08:30:00Z
22.3,2026-07-14T10:00:00Z
20.0,2021-08-09T11:00:00Z
8.0,2025-01-05T19:55:00Z
26.0,2024-04-12T22:00:00Z
31.8,2026-07-14T08:30:00Z
4.0,2023-06-30T13:00:00Z
20.0,2022-10-16T16:00:00Z
5.0,2024-07-11T15:00:00Z
30.18,2026-07-14T09:51:37Z
9.58346,2025-11-27T18:00:00Z
10.0,2017-08-20T18:00:00Z
5.989,2023-10-11T10:00:00Z
13.0,2026-07-14T08:30:00Z
21.6,2026-07-14T10:00:00Z
46.6,2026-07-14T10:00:00Z
23.3,2022-10-16T15:45:00Z
238.0,2022-10-31T00:45:00Z
8.0,2024-07-11T16:00:00Z
0.0,2020-11-24T16:00:00Z
7.46417,2026-07-14T09:00:00Z
4.4,2026-07-14T10:00:00Z
4.438749988873799,2025-02-13T21:00:00Z
6.9,2026-07-14T10:00:00Z
0.0,2026-04-11T04:00:00Z
8.08712,2026-07-14T09:00:00Z
15.0,2021-08-09T11:00:00Z
11.6,2026-07-14T09:00:00Z
7.0,2021-08-09T11:00:00Z
4.9,2026-07-14T10:00:00Z
